k¹t podniesienia,kat boczny,wysokosc celu,opor powietrza,wektor wiatru,wylotowa,X,Z
87.9818825545782,-86.63816878778177,0,0.1,"[0, 0, 0]",1100,222.8876273846299,-3777.2488493435144
69.46391347329472,57.890159256411806,0,0.1,"[0, 0, 0]",1100,18176.7754447823,28963.6168118951
69.27377755312853,-85.89660061353032,0,0.1,"[0, 0, 0]",1100,2465.92651117274,-34358.769380274265
37.55490417573759,35.292160136779344,0,0.1,"[0, 0, 0]",1100,45114.26773971247,31932.707431853138
0.3699480661487764,-74.91072815182795,0,0.1,"[0, 0, 0]",1100,410.9439732349267,-1520.4367632791514
88.44409067722442,-15.258568387810598,0,0.1,"[0, 0, 0]",1100,2817.5963852812765,-768.339863034112
32.351583475476595,-9.383192421651671,0,0.1,"[0, 0, 0]",1100,53509.68740576737,-8842.14073451311
89.69976505635103,-83.04644085309519,0,0.1,"[0, 0, 0]",1100,69.2881208374169,-559.9060136059757
60.81777811085516,-2.321145004772461,0,0.1,"[0, 0, 0]",1100,44201.439888226116,-1791.5874811976648
12.124005982568582,8.875381150047971,0,0.1,"[0, 0, 0]",1100,33745.410521819605,5269.379815122132
47.8072608304434,35.67200569342677,0,0.1,"[0, 0, 0]",1100,43396.76591308085,31150.88155573446
70.53945044806119,79.28828430530442,0,0.1,"[0, 0, 0]",1100,6085.817919263104,32166.934706352877
69.31873776108428,-30.08290956832107,0,0.1,"[0, 0, 0]",1100,29756.56917803317,-17236.586286071095
17.396948797757126,-50.771444856921576,0,0.1,"[0, 0, 0]",1100,26812.830339422228,-32840.6305993341
30.811382694895713,-86.59188103824718,0,0.1,"[0, 0, 0]",1100,3190.4931525794477,-53556.73710258135
0.9802564225760979,83.50669018795602,0,0.1,"[0, 0, 0]",1100,463.4958222351875,4063.492169189589
37.13955982439503,7.919178438822257,0,0.1,"[0, 0, 0]",1100,54713.65311096304,7610.675292492657
6.342837388642138,20.84835032280111,0,0.1,"[0, 0, 0]",1100,19990.70928020064,7612.687299534507
40.16047916919357,9.47107784134684,0,0.1,"[0, 0, 0]",1100,54522.928379769626,9095.551467204246
43.973427097619734,38.73506699195187,0,0.1,"[0, 0, 0]",1100,42662.509971851105,34221.20445953467
37.09341515486918,-3.9813571790028988,0,0.1,"[0, 0, 0]",1100,55103.088907322075,-3835.0642922771767
87.35627339111412,-2.8405482533449486,0,0.1,"[0, 0, 0]",1100,4945.130981489802,-245.31394438684978
56.45401260809058,81.14226139396442,0,0.1,"[0, 0, 0]",1100,7412.504604489826,47558.355617123656
35.03872007556523,-10.343448540614219,0,0.1,"[0, 0, 0]",1100,54053.14997021244,-9865.171472881499
13.306476403259552,30.73562544031617,0,0.1,"[0, 0, 0]",1100,31152.337945093033,18522.518520062156
86.16562965685385,85.20909625322585,0,0.1,"[0, 0, 0]",1100,598.6890537353611,7131.266492979488
42.21177657723591,68.82502109261753,0,0.1,"[0, 0, 0]",1100,19884.84257123615,51330.08142480899
74.83340434878576,31.548929131717074,0,0.1,"[0, 0, 0]",1100,22575.063386063943,13859.934642822822
7.7037033857274375,-88.06699366795236,0,0.1,"[0, 0, 0]",1100,838.6400711936465,-24818.51032244544
7.328829720530178,48.66133894624832,0,0.1,"[0, 0, 0]",1100,15797.238916677517,17956.031304144464
36.8592786470229,-31.165088045663893,0,0.1,"[0, 0, 0]",1100,47245.76003014228,-28573.011487322725
62.3887339608671,-26.767351051924365,0,0.1,"[0, 0, 0]",1100,38070.4249241373,-19203.018264205206
15.045829663658486,65.89237250817482,0,0.1,"[0, 0, 0]",1100,15951.482656602586,35645.01906713298
12.843948151511578,9.735169689262293,0,0.1,"[0, 0, 0]",1100,34933.72331243253,5993.231224365007
79.13463517812588,29.266589673408163,0,0.1,"[0, 0, 0]",1100,17085.52840993496,9574.294855707238
38.38524574015575,28.251191115898138,0,0.1,"[0, 0, 0]",1100,48721.50988340782,26179.77954895243
42.01847464202125,-3.177590919529493,0,0.1,"[0, 0, 0]",1100,54993.19665452436,-3052.949555821422
80.59533920897854,47.91831091432081,0,0.1,"[0, 0, 0]",1100,11465.76537274139,12696.461868493207
45.990668734599836,-62.792593135554824,0,0.1,"[0, 0, 0]",1100,24738.822127264633,-48119.2811839718
31.89297266646205,-64.20716704961396,0,0.1,"[0, 0, 0]",1100,23529.820608968173,-48686.68348777261
31.84037256595919,53.30962669243715,0,0.1,"[0, 0, 0]",1100,32298.615296351083,43345.77235189747
33.48025343060728,5.014908508543456,0,0.1,"[0, 0, 0]",1100,54371.486827003755,4771.057180005713
36.70852472321438,-68.13095280059258,0,0.1,"[0, 0, 0]",1100,20561.263435258657,-51224.65695112031
79.87158115065,7.54968494545561,0,0.1,"[0, 0, 0]",1100,18184.210345421285,2409.908045957749
37.536714934556876,14.708420841164951,0,0.1,"[0, 0, 0]",1100,53459.81067798259,14033.054431581755
1.1662447707187584,-13.75925662717178,0,0.1,"[0, 0, 0]",1100,4685.6904912474665,-1147.1255475067858
4.110022321146818,-33.46282646042461,0,0.1,"[0, 0, 0]",1100,12517.23756912314,-8272.589071594066
70.15825717224303,-49.27387167807106,0,0.1,"[0, 0, 0]",1100,21700.52364276776,-25204.73720718047
39.83078674591388,-11.846981030758457,0,0.1,"[0, 0, 0]",1100,54116.46796511809,-11351.497880320094
33.10576326038749,49.29731802408389,0,0.1,"[0, 0, 0]",1100,35524.34883029355,41295.792947333575
67.883557663086,-55.62410716493878,0,0.1,"[0, 0, 0]",1100,20470.55916422462,-29921.9318204065
19.443157281004158,6.611176596822332,0,0.1,"[0, 0, 0]",1100,44627.190381492364,5172.24829572136
78.57572293179105,53.95143632026122,0,0.1,"[0, 0, 0]",1100,12073.769204759858,16587.157581418556
66.09943316446724,-33.03731530494795,0,0.1,"[0, 0, 0]",1100,32242.883124049422,-20967.68886608259
78.58497673443726,-21.737361823699473,0,0.1,"[0, 0, 0]",1100,19043.4175789634,-7592.205477009023
89.14930143146861,52.21741085431478,0,0.1,"[0, 0, 0]",1100,979.8277860996265,1262.689286612817
59.15023146008968,-47.73937005588493,0,0.1,"[0, 0, 0]",1100,30815.461961527966,-33911.13739310075
47.8740477613479,2.4847951126019012,0,0.1,"[0, 0, 0]",1100,53341.5045495035,2314.7146490550044
82.18643109771759,52.626350797746625,0,0.1,"[0, 0, 0]",1100,8705.310690670985,11395.6238280588
84.54691751079369,-71.27755337530871,0,0.1,"[0, 0, 0]",1100,3248.810916194656,-9582.867016811666
