k¹t podniesienia,kat boczny,wysokosc celu,opor powietrza,wiatr z,wiatr y,wiatr z,wylotowa,X,Z
25.4737752899889,-89.63463607451824,0,0.1,0,0,0.5305789619302111,1100,322.04580026383127,-51643.40504960314
7.232493741749072,27.406359658825295,0,0.1,0,0,0.7707390295296226,1100,21029.6866380353,10666.702807771035
53.832562142105274,-31.196958802783904,0,0.1,0,0,0.6975761529231957,1100,42500.90093956007,-30573.34362590099
44.58100682984826,80.6802078902895,0,0.1,0,0,0.572695377665913,1100,8920.09345473792,51176.11912446722
15.675946147179037,-73.40511860311001,0,0.1,0,0,0.0684191840928483,1100,11420.660534001201,-38396.86593477897
82.6784563617151,28.294000215263637,0,0.1,0,0,0.41175441405225377,1100,11890.30631481532,1984.7182847978006
40.27654956935342,6.604894260706828,0,0.1,0,0,0.4425639631998566,1100,54939.15295652102,4244.942959683144
79.1063375937615,-76.11286064041147,0,0.1,0,0,0.6149881328441196,1100,4651.5650916429695,-25127.882228372513
31.986371459441582,-73.25443201212035,0,0.1,0,0,0.035866738019529554,1100,15584.377997132018,-51915.76033317727
65.38708528444153,-53.77070001604079,0,0.1,0,0,0.2742537066393178,1100,23108.499972294394,-33926.71472233637
7.521973686032972,-8.15458814232636,0,0.1,0,0,0.9161733982808317,1100,24140.537628924903,-3760.1194312217362
11.87977466076333,63.34220655348807,0,0.1,0,0,0.026296138790197432,1100,15123.143955158715,30103.266773667838
18.58877455343831,-24.6477030269657,0,0.1,0,0,0.4180262961382053,1100,39869.40876088993,-18922.65865512744
44.249815000274964,-21.35178404681946,0,0.1,0,0,0.7182198819771907,1100,50629.39017590292,-23672.426719270745
70.962932152971,47.78079919670799,0,0.1,0,0,0.7703039008810543,1100,21875.208815722068,16692.158065631353
4.836668272419729,49.84604157953652,0,0.1,0,0,0.8697414645675915,1100,11092.446015981444,13017.11101660172
46.392104894842575,75.09316047779663,0,0.1,0,0,0.39687817249370305,1100,13980.82802415834,50204.35616679437
22.961949296217146,44.19352822816117,0,0.1,0,0,0.2967452012656592,1100,34852.6778866225,33260.46972795372
