k¹t podniesienia,kat boczny,wysokosc celu,opor powietrza,wiatr x,wiatr y,wiatr z,wylotowa,X,Z
,,,,,,,,,
25.4737752899889,-89.63463607451824,0,0.1,0.5305789619302111,0,0.08036104157498969,1100,-980.4522823851544,-50741.778637158015
,,,,,,,,,
58.70317982941265,48.73302531533207,0,0.1,0.5981395793567252,0,0.3266835622067561,1100,26219.9708493804,32672.78213761162
,,,,,,,,,
62.78185376308762,-0.8379863403034733,0,0.1,0.948223377168275,0,0.572695377665913,1100,35003.20216800006,-5529.666399943267
,,,,,,,,,
15.675946147179037,-73.40511860311001,0,0.1,0.0684191840928483,0,0.9186495151301679,1100,11301.371414494293,-39228.70419461328
,,,,,,,,,
59.14700010763182,-15.884205470594324,0,0.1,0.44751721743726025,0,0.5366938570039268,1100,40801.70088879526,-16837.079134180523
,,,,,,,,,
39.83075668798709,68.21267518752299,0,0.1,0.07715077421993632,0,0.6149881328441196,1100,20347.84030920524,48899.09574990145
,,,,,,,,,
31.986371459441582,-73.25443201212035,0,0.1,0.035866738019529554,0,0.7265231698271281,1100,15342.59152732473,-53880.894956891454
,,,,,,,,,
18.114649991979604,-40.63433280492279,0,0.1,0.08357748540036636,0,0.4546967325426313,1100,32713.034300167907,-28831.591847366424
,,,,,,,,,
82.45560584527485,-66.24045067847334,0,0.1,0.8519011475193782,0,0.026296138790197432,1100,-3516.90658875863,-12984.366035944096
,,,,,,,,,
18.58877455343831,-24.6477030269657,0,0.1,0.4180262961382053,0,0.49166461111416626,1100,39318.894638133395,-19071.514287844704
,,,,,,,,,
34.32410797659027,39.279578755894306,0,0.1,0.7884770239219,0,0.7654488844261554,1100,39970.712449410625,32224.199448800417
,,,,,,,,,
69.32735107929489,-80.32666345516054,0,0.1,0.7769224532196473,0,0.8697414645675915,1100,-1417.3708383531718,-41160.84228084042
,,,,,,,,,
46.392104894842575,75.09316047779663,0,0.1,0.39687817249370305,0,0.2551327699579683,1100,11661.98344067538,50992.927161153326
,,,,,,,,,
67.09676411408059,-36.58586377218135,0,0.1,0.006684945378537144,0,0.27419401398971543,1100,29729.04016061358,-24567.600275035657
,,,,,,,,,
47.592536640511085,74.02938444217807,0,0.1,0.4637811940887955,0,0.7473531461708983,1100,12141.180689191202,47722.90855466817
,,,,,,,,,
28.077491901967935,34.535444103140804,0,0.1,0.7219409324911714,0,0.7683655420711972,1100,41452.097953559474,27745.312883437302
,,,,,,,,,
54.167293983493245,-0.7207044044383792,0,0.1,0.5214430745424768,0,0.36486987179949726,1100,46669.48390175051,-3231.5921166397457
,,,,,,,,,
67.29309476053318,-77.8073791060683,0,0.1,0.5387390062260252,0,0.6336222646629501,1100,2915.9318237319594,-41333.62347671743
,,,,,,,,,
39.088926609335886,-45.892068393831686,0,0.1,0.01359208851639604,0,0.004428559292882328,1100,38441.553637478064,-39740.630455976774
,,,,,,,,,
40.22685314321539,-40.53537643453499,0,0.1,0.1693050456985682,0,0.252365206311733,1100,41174.879153975635,-37102.955935778366
,,,,,,,,,
64.55093770681707,-62.385378406980834,0,0.1,0.2882951003996863,0,0.1432168953643026,1100,16177.216716406863,-36918.13827070051
,,,,,,,,,
60.253805370811016,-22.841893828267644,0,0.1,0.5010223743587305,0,0.8940803157057258,1100,37293.834930897036,-24552.32252648402
,,,,,,,,,
80.37592892641871,67.74939985603345,0,0.1,0.5631577673316615,0,0.5143676317878962,1100,704.4526252721236,10894.786050236145
,,,,,,,,,
45.676169256760716,-66.15467203660924,0,0.1,0.865787651721995,0,0.14555686868059436,1100,17068.019377196197,-50570.14642782626
,,,,,,,,,
12.047283752499002,44.621845139490716,0,0.1,0.8748106588218832,0,0.1888602442182018,1100,23616.55013144222,23806.686286964836
,,,,,,,,,
56.99838437854082,-75.02393581116888,0,0.1,0.17820722122218902,0,0.9842632061457693,1100,10773.323696587244,-52393.52679415133
,,,,,,,,,
52.7263737475535,-30.231329518305728,0,0.1,0.3986795324331539,0,0.26046586531457383,1100,41359.655585034794,-27472.780880537346
,,,,,,,,,
43.99449817422755,64.52371241304053,0,0.1,0.162321622795761,0,0.6070589583060242,1100,22890.95286328381,46590.39140912844
,,,,,,,,,
4.761090786155618,48.77418238396592,0,0.1,0.04459481370034046,0,0.4381278848735808,1100,11180.870949033184,12703.157371289155
,,,,,,,,,
16.917373008617698,26.27956364442437,0,0.1,0.42623133470106134,0,0.8386212958253288,1100,37027.67199921861,17466.11048506349
,,,,,,,,,
73.69822790091044,54.16035466233032,0,0.1,0.39873243156613725,0,0.3254553911660125,1100,12735.040973549021,19885.83231958691
,,,,,,,,,
71.65050607334564,-84.89592923208994,0,0.1,0.7278326605379388,0,0.2954886056241006,1100,-4177.254091158596,-33653.38097775453
,,,,,,,,,
70.74907486749204,36.21752210400709,0,0.1,0.503647553085885,0,0.12315143143484897,1100,21644.236469652973,18206.185467646657
,,,,,,,,,
17.545799097845677,-39.06558438952466,0,0.1,0.9253456836071263,0,0.1917878716930176,1100,31899.291361466672,-27190.918318287488
,,,,,,,,,
80.31525637397668,7.20866269020479,0,0.1,0.9697786565250309,0,0.8287980625750205,1100,7351.377886261842,-6598.352332595337
,,,,,,,,,
56.04181102240667,-51.855080935955066,0,0.1,0.321213377483473,0,0.19101805643707237,1100,27596.133759513952,-39545.7192200743
,,,,,,,,,
85.6519548305127,-88.0498667202038,0,0.1,0.3028496706235376,0,0.6522758817025194,1100,-2983.936679849384,-15027.009998531681
,,,,,,,,,
